Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
45.33.84.124-10.128.0.42-44673-58888-6,45.33.84.124,44673,10.128.0.42,58888,6,17/12/2023 12:00:03 PM,31,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64516.12903225806,31.0,0.0,31.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,32258.06451612903,32258.06451612903,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,24,0,0,0,0,0,0,0,0,NeedManualLabel
42.114.37.222-10.128.0.42-47788-443-6,42.114.37.222,47788,10.128.0.42,443,6,17/12/2023 12:00:06 PM,210301,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7754456707291,52575.25000000001,105013.18582722521,210095.0,0.0,210148.0,105074.0,148597.0758527906,210148.0,0.0,210248.0,210248.0,0.0,210248.0,210248.0,0,0,0,0,108,72,14.265267402437459,9.51017826829164,0.0,0.0,0.0,0.0,0.0,2,2,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,506,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
162.142.125.182-10.128.0.42-32480-10035-6,162.142.125.182,32480,10.128.0.42,10035,6,17/12/2023 12:00:08 PM,15,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133333.33333333334,15.0,0.0,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,66666.66666666667,66666.66666666667,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,NeedManualLabel
45.33.78.24-10.128.0.42-57619-15672-6,45.33.78.24,57619,10.128.0.42,15672,6,17/12/2023 12:00:10 PM,27,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74074.07407407407,27.0,0.0,27.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,37037.03703703704,37037.03703703704,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,24,0,0,0,0,0,0,0,0,NeedManualLabel
162.216.150.180-10.128.0.42-56615-56666-6,162.216.150.180,56615,10.128.0.42,56666,6,17/12/2023 12:00:12 PM,21,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95238.09523809524,21.0,0.0,21.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,47619.04761904762,47619.04761904762,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,24,0,0,0,0,0,0,0,0,NeedManualLabel
92.63.197.94-10.128.0.42-58618-19577-6,92.63.197.94,58618,10.128.0.42,19577,6,17/12/2023 12:00:16 PM,21,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95238.09523809524,21.0,0.0,21.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,47619.04761904762,47619.04761904762,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
77.90.185.186-10.128.0.42-51053-33891-6,77.90.185.186,51053,10.128.0.42,33891,6,17/12/2023 12:00:22 PM,18,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111111.11111111111,18.0,0.0,18.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,55555.555555555555,55555.555555555555,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
94.102.61.41-10.128.0.42-38909-2003-6,94.102.61.41,38909,10.128.0.42,2003,6,17/12/2023 12:00:23 PM,17,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117647.05882352941,17.0,0.0,17.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,58823.529411764706,58823.529411764706,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,24,0,0,0,0,0,0,0,0,NeedManualLabel
54.170.245.60-10.128.0.42-33752-80-6,54.170.245.60,33752,10.128.0.42,80,6,17/12/2023 12:00:32 PM,104756,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.72996296154874,26189.0,52282.67355443866,104613.0,18.0,104673.0,52336.5,73955.59113751982,104631.0,42.0,104738.0,104738.0,0.0,104738.0,104738.0,0,0,0,0,104,72,28.637977776929244,19.091985184619496,0.0,0.0,0.0,0.0,0.0,2,2,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,506,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.128.0.42-142.250.128.95-50964-443-6,10.128.0.42,50964,142.250.128.95,443,6,17/12/2023 12:00:03 PM,30996267,10,8,2447.0,5152.0,1312.0,0.0,244.70000000000002,439.9777898434824,4762.0,0.0,644.0,1668.671584567454,245.15855409298157,0.580715090626881,1823309.8235294118,7496673.22567795,3.0914598E7,15.0,3.0995556E7,3443950.6666666665,1.0301524068174621E7,3.0914598E7,118.0,3.0995387E7,4427912.428571428,1.167996468533618E7,3.0915516E7,55.0,0,0,0,0,328,264,0.3226194947927117,0.2580955958341693,0.0,4762.0,399.94736842105283,1108.3257380032585,1228385.9415204676,2,2,0,8,17,0,0,0,0.0,422.1666666666667,244.7,644.0,0,0,0,7575,7,95170,10,2447,8,5152,65320,282,5,32,80835.0,0.0,80835.0,80835.0,3.0914598E7,0.0,3.0914598E7,3.0914598E7,NeedManualLabel
